"ecos","date","packages","biggest.wcc","ratio"
"cran",2000-01-01,70,2,0.0285714285714286
"cran",2000-02-01,71,2,0.028169014084507
"cran",2000-03-01,75,4,0.0533333333333333
"cran",2000-04-01,76,4,0.0526315789473684
"cran",2000-05-01,80,4,0.05
"cran",2000-06-01,86,4,0.0465116279069767
"cran",2000-07-01,88,4,0.0454545454545455
"cran",2000-08-01,92,4,0.0434782608695652
"cran",2000-09-01,95,4,0.0421052631578947
"cran",2000-10-01,99,4,0.0404040404040404
"cran",2000-11-01,100,4,0.04
"cran",2000-12-01,109,4,0.036697247706422
"cran",2001-01-01,111,4,0.036036036036036
"cran",2001-02-01,114,4,0.0350877192982456
"cran",2001-03-01,118,4,0.0338983050847458
"cran",2001-04-01,122,4,0.0327868852459016
"cran",2001-05-01,131,7,0.0534351145038168
"cran",2001-06-01,150,8,0.0533333333333333
"cran",2001-07-01,153,12,0.0784313725490196
"cran",2001-08-01,156,12,0.0769230769230769
"cran",2001-09-01,158,13,0.0822784810126582
"cran",2001-10-01,166,13,0.0783132530120482
"cran",2001-11-01,168,13,0.0773809523809524
"cran",2001-12-01,173,13,0.0751445086705202
"cran",2002-01-01,176,9,0.0511363636363636
"cran",2002-02-01,185,11,0.0594594594594595
"cran",2002-03-01,194,12,0.0618556701030928
"cran",2002-04-01,202,14,0.0693069306930693
"cran",2002-05-01,206,23,0.111650485436893
"cran",2002-06-01,209,24,0.114832535885167
"cran",2002-07-01,215,24,0.111627906976744
"cran",2002-08-01,217,25,0.115207373271889
"cran",2002-09-01,219,25,0.114155251141553
"cran",2002-10-01,225,26,0.115555555555556
"cran",2002-11-01,232,26,0.112068965517241
"cran",2002-12-01,236,27,0.114406779661017
"cran",2003-01-01,242,28,0.115702479338843
"cran",2003-02-01,246,29,0.117886178861789
"cran",2003-03-01,254,43,0.169291338582677
"cran",2003-04-01,258,42,0.162790697674419
"cran",2003-05-01,265,52,0.19622641509434
"cran",2003-06-01,273,62,0.227106227106227
"cran",2003-07-01,280,63,0.225
"cran",2003-08-01,299,68,0.22742474916388
"cran",2003-09-01,303,74,0.244224422442244
"cran",2003-10-01,313,75,0.23961661341853
"cran",2003-11-01,328,79,0.240853658536585
"cran",2003-12-01,336,80,0.238095238095238
"cran",2004-01-01,343,86,0.250728862973761
"cran",2004-02-01,355,91,0.256338028169014
"cran",2004-03-01,371,95,0.256064690026954
"cran",2004-04-01,388,101,0.260309278350515
"cran",2004-05-01,397,99,0.249370277078086
"cran",2004-06-01,407,103,0.253071253071253
"cran",2004-07-01,414,104,0.251207729468599
"cran",2004-08-01,429,108,0.251748251748252
"cran",2004-09-01,441,108,0.244897959183673
"cran",2004-10-01,455,97,0.213186813186813
"cran",2004-11-01,462,62,0.134199134199134
"cran",2004-12-01,473,61,0.128964059196617
"cran",2005-01-01,487,84,0.172484599589322
"cran",2005-02-01,507,92,0.181459566074951
"cran",2005-03-01,527,100,0.189753320683112
"cran",2005-04-01,538,104,0.193308550185874
"cran",2005-05-01,556,108,0.194244604316547
"cran",2005-06-01,578,123,0.21280276816609
"cran",2005-07-01,602,136,0.225913621262458
"cran",2005-08-01,612,174,0.284313725490196
"cran",2005-09-01,628,181,0.288216560509554
"cran",2005-10-01,646,189,0.292569659442724
"cran",2005-11-01,666,197,0.295795795795796
"cran",2005-12-01,685,206,0.300729927007299
"cran",2006-01-01,697,219,0.314203730272597
"cran",2006-02-01,714,228,0.319327731092437
"cran",2006-03-01,757,268,0.354029062087186
"cran",2006-04-01,771,276,0.357976653696498
"cran",2006-05-01,785,285,0.363057324840764
"cran",2006-06-01,806,290,0.359801488833747
"cran",2006-07-01,831,302,0.363417569193742
"cran",2006-08-01,854,306,0.358313817330211
"cran",2006-09-01,888,318,0.358108108108108
"cran",2006-10-01,918,344,0.374727668845316
"cran",2006-11-01,940,364,0.387234042553191
"cran",2006-12-01,962,391,0.406444906444906
"cran",2007-01-01,983,403,0.409969481180061
"cran",2007-02-01,1005,419,0.416915422885572
"cran",2007-03-01,1030,462,0.448543689320388
"cran",2007-04-01,1050,471,0.448571428571429
"cran",2007-05-01,1072,490,0.457089552238806
"cran",2007-06-01,1106,515,0.465641952983725
"cran",2007-07-01,1132,528,0.46643109540636
"cran",2007-08-01,1165,547,0.469527896995708
"cran",2007-09-01,1194,575,0.481574539363484
"cran",2007-10-01,1222,604,0.494271685761047
"cran",2007-11-01,1253,624,0.498004788507582
"cran",2007-12-01,1289,635,0.492629945694337
"cran",2008-01-01,1313,657,0.5003808073115
"cran",2008-02-01,1354,693,0.511816838995569
"cran",2008-03-01,1384,714,0.515895953757225
"cran",2008-04-01,1409,735,0.521646557842441
"cran",2008-05-01,1440,761,0.528472222222222
"cran",2008-06-01,1478,788,0.533152909336942
"cran",2008-07-01,1511,808,0.534745201853077
"cran",2008-08-01,1541,837,0.54315379623621
"cran",2008-09-01,1575,866,0.54984126984127
"cran",2008-10-01,1610,884,0.549068322981366
"cran",2008-11-01,1640,910,0.554878048780488
"cran",2008-12-01,1672,943,0.563995215311005
"cran",2009-01-01,1694,966,0.570247933884298
"cran",2009-02-01,1724,989,0.573665893271462
"cran",2009-03-01,1756,1005,0.572323462414579
